timestamp,total_io_read,total_io_write
2018-08-10T09:14:24.841869,66.54M,0B
2018-08-10T09:14:25.937642,135.47M,0B
2018-08-10T09:14:27.038720,203.37M,0B
2018-08-10T09:14:28.171647,273.63M,0B
2018-08-10T09:14:29.244462,306.18M,23.2M
2018-08-10T09:14:30.247635,306.18M,73.56M
2018-08-10T09:14:31.398920,306.18M,133.35M
2018-08-10T09:14:32.555421,306.18M,191.7M
2018-08-10T09:14:33.711818,306.18M,249.54M
2018-08-10T09:14:34.897393,306.18M,307.17M
2018-08-10T09:14:36.050988,306.18M,363.04M
2018-08-10T09:14:37.089034,306.24M,411.89M
2018-08-10T09:14:38.111810,306.61M,457.92M
2018-08-10T09:14:39.177582,306.72M,459.88M
2018-08-10T09:14:40.180522,306.72M,459.88M
2018-08-10T09:14:41.196300,306.72M,459.88M
2018-08-10T09:14:42.238319,306.72M,459.88M
2018-08-10T09:14:43.258020,306.72M,459.88M
2018-08-10T09:14:44.262913,306.72M,459.88M
2018-08-10T09:14:45.274990,306.72M,459.88M
2018-08-10T09:14:46.277688,306.72M,459.88M
