timestamp,total_io_read,total_io_write
2018-08-10T09:14:47.301767,51.89M,0B
2018-08-10T09:14:48.357817,118.15M,0B
2018-08-10T09:14:49.382634,182.15M,0B
2018-08-10T09:14:50.486413,250.88M,0B
2018-08-10T09:14:51.727426,305.47M,11.13M
2018-08-10T09:14:52.730537,306.18M,56.62M
2018-08-10T09:14:53.896395,306.18M,112.63M
2018-08-10T09:14:55.135238,306.18M,175.43M
2018-08-10T09:14:56.327697,306.18M,231.68M
2018-08-10T09:14:57.339090,306.18M,283.65M
2018-08-10T09:14:58.481149,306.18M,342.89M
2018-08-10T09:14:59.684831,306.18M,398.86M
2018-08-10T09:15:00.692325,306.29M,448.22M
2018-08-10T09:15:01.725613,306.72M,459.88M
2018-08-10T09:15:02.798720,268.52M,394.19M
2018-08-10T09:15:03.816174,306.72M,459.88M
2018-08-10T09:15:04.840979,306.72M,459.88M
2018-08-10T09:15:05.851905,306.72M,459.88M
2018-08-10T09:15:06.854012,306.72M,459.88M
2018-08-10T09:15:07.868129,306.72M,459.88M
2018-08-10T09:15:08.871313,306.72M,459.88M
