timestamp,total_io_read,total_io_write
2018-08-23T09:49:50.549496,57.36M,0B
2018-08-23T09:49:51.869375,130.48M,0B
2018-08-23T09:49:52.876180,186.05M,0B
2018-08-23T09:49:53.973837,252.71M,0B
2018-08-23T09:49:55.056305,304.98M,7.11M
2018-08-23T09:49:56.081202,306.18M,38.15M
2018-08-23T09:49:57.240139,306.18M,77.43M
2018-08-23T09:49:58.313376,306.18M,127.49M
2018-08-23T09:49:59.571547,306.18M,175.51M
2018-08-23T09:50:00.601474,306.18M,218.65M
2018-08-23T09:50:01.721120,306.18M,265.34M
2018-08-23T09:50:02.809137,306.18M,316.77M
2018-08-23T09:50:03.938293,306.18M,366.62M
2018-08-23T09:50:05.136078,306.18M,412.54M
2018-08-23T09:50:06.203572,306.65M,454.46M
2018-08-23T09:50:07.262914,306.7M,459.88M
2018-08-23T09:50:08.267423,306.7M,459.88M
2018-08-23T09:50:09.306369,306.7M,459.88M
2018-08-23T09:50:10.340565,306.7M,459.88M
2018-08-23T09:50:11.342596,306.7M,459.88M
2018-08-23T09:50:12.353009,306.7M,459.88M
2018-08-23T09:50:13.357392,306.7M,459.88M
2018-08-23T09:50:14.359036,306.7M,459.88M
