timestamp,total_io_read,total_io_write
2018-08-23T09:50:15.899136,71.85M,0B
2018-08-23T09:50:17.097684,146.58M,0B
2018-08-23T09:50:18.150206,211.51M,0B
2018-08-23T09:50:19.288991,279.21M,0B
2018-08-23T09:50:20.351777,306.18M,16.89M
2018-08-23T09:50:21.363185,306.18M,52.14M
2018-08-23T09:50:22.572008,306.18M,98.7M
2018-08-23T09:50:23.662556,306.18M,140.04M
2018-08-23T09:50:24.749124,306.18M,183.02M
2018-08-23T09:50:25.797138,306.18M,222.56M
2018-08-23T09:50:26.937140,306.18M,264.97M
2018-08-23T09:50:28.135943,306.18M,310.34M
2018-08-23T09:50:29.366634,306.18M,367.56M
2018-08-23T09:50:30.468647,306.28M,416.74M
2018-08-23T09:50:31.494190,306.6M,457.35M
2018-08-23T09:50:32.517113,306.7M,459.88M
2018-08-23T09:50:33.530109,268.5M,394.19M
2018-08-23T09:50:34.561766,306.7M,459.88M
2018-08-23T09:50:35.583487,230.25M,328.49M
2018-08-23T09:50:36.599891,306.7M,459.88M
2018-08-23T09:50:37.605738,306.7M,459.88M
2018-08-23T09:50:38.610814,306.7M,459.88M
2018-08-23T09:50:39.618104,306.7M,459.88M
