timestamp,total_io_read,total_io_write
2018-08-23T09:07:47.860238,61.32M,0B
2018-08-23T09:07:48.996602,133.13M,0B
2018-08-23T09:07:50.102205,202.72M,0B
2018-08-23T09:07:51.203512,272.2M,0B
2018-08-23T09:07:52.249938,306.18M,22.3M
2018-08-23T09:07:53.300893,306.18M,74.74M
2018-08-23T09:07:54.357994,306.18M,130.18M
2018-08-23T09:07:55.404747,306.18M,184.92M
2018-08-23T09:07:56.456336,306.18M,240.06M
2018-08-23T09:07:57.505265,306.18M,294.92M
2018-08-23T09:07:58.551578,306.18M,349.63M
2018-08-23T09:07:59.603803,306.18M,404.77M
2018-08-23T09:08:00.658007,306.52M,456.05M
2018-08-23T09:08:01.718127,306.67M,459.88M
2018-08-23T09:08:02.725622,306.67M,459.88M
2018-08-23T09:08:03.730895,306.67M,459.88M
2018-08-23T09:08:04.758335,306.67M,459.88M
2018-08-23T09:08:05.765762,306.67M,459.88M
2018-08-23T09:08:06.785321,306.67M,459.88M
2018-08-23T09:08:07.789629,306.67M,459.88M
2018-08-23T09:08:08.798844,306.67M,459.88M
