timestamp,total_io_read,total_io_write
2018-08-23T09:30:00.833771,65.19M,0B
2018-08-23T09:30:01.883873,132.93M,0B
2018-08-23T09:30:02.885508,197.35M,0B
2018-08-23T09:30:04.045996,271.26M,0B
2018-08-23T09:30:05.221776,306.18M,27.75M
2018-08-23T09:30:06.257403,306.18M,81.07M
2018-08-23T09:30:07.260034,306.18M,134.47M
2018-08-23T09:30:08.325824,306.18M,190.45M
2018-08-23T09:30:09.388771,306.18M,246.25M
2018-08-23T09:30:10.455276,306.18M,302.33M
2018-08-23T09:30:11.518030,306.18M,358.12M
2018-08-23T09:30:12.590784,306.18M,414.61M
2018-08-23T09:30:13.596555,306.53M,458.88M
2018-08-23T09:30:14.658440,306.68M,459.88M
2018-08-23T09:30:15.684627,268.48M,394.19M
2018-08-23T09:30:16.722917,306.68M,459.88M
2018-08-23T09:30:17.734497,306.68M,459.88M
2018-08-23T09:30:18.744048,306.68M,459.88M
2018-08-23T09:30:19.748394,306.68M,459.88M
2018-08-23T09:30:20.753408,306.68M,459.88M
