timestamp,total_io_read,total_io_write
2018-08-23T09:30:22.900903,69.83M,0B
2018-08-23T09:30:24.028422,141.71M,0B
2018-08-23T09:30:25.158635,213.8M,0B
2018-08-23T09:30:26.192854,278.73M,0B
2018-08-23T09:30:27.296682,306.18M,29.11M
2018-08-23T09:30:28.348058,306.18M,82.51M
2018-08-23T09:30:29.409858,306.18M,137.97M
2018-08-23T09:30:30.468775,306.18M,193.15M
2018-08-23T09:30:31.529887,306.18M,248.58M
2018-08-23T09:30:32.583244,306.18M,303.54M
2018-08-23T09:30:33.638926,306.18M,358.64M
2018-08-23T09:30:34.693629,306.18M,413.84M
2018-08-23T09:30:35.705151,306.53M,457.86M
2018-08-23T09:30:36.762488,306.68M,459.88M
2018-08-23T09:30:37.795658,230.28M,328.49M
2018-08-23T09:30:38.822811,306.68M,459.88M
2018-08-23T09:30:39.841410,306.68M,459.88M
2018-08-23T09:30:40.859127,306.68M,459.88M
2018-08-23T09:30:41.869796,306.68M,459.88M
2018-08-23T09:30:42.870012,306.68M,459.88M
