timestamp,total_io_read,total_io_write
2018-08-23T09:16:26.980223,60.82M,0B
2018-08-23T09:16:28.164217,136.74M,0B
2018-08-23T09:16:29.273668,206.42M,0B
2018-08-23T09:16:30.433285,280.79M,0B
2018-08-23T09:16:31.473807,306.18M,28.39M
2018-08-23T09:16:32.524781,306.18M,81.46M
2018-08-23T09:16:33.571553,306.18M,136.2M
2018-08-23T09:16:34.617857,306.18M,190.77M
2018-08-23T09:16:35.665601,306.18M,245.4M
2018-08-23T09:16:36.713595,306.18M,300.09M
2018-08-23T09:16:37.754260,306.18M,354.6M
2018-08-23T09:16:38.802308,306.18M,409.36M
2018-08-23T09:16:39.812656,306.57M,458.11M
2018-08-23T09:16:40.842957,306.67M,459.88M
2018-08-23T09:16:41.882110,268.47M,394.19M
2018-08-23T09:16:42.912259,306.67M,459.88M
2018-08-23T09:16:43.916007,230.22M,328.49M
2018-08-23T09:16:44.920920,306.67M,459.88M
2018-08-23T09:16:45.924218,306.67M,459.88M
2018-08-23T09:16:46.925453,306.67M,459.88M
2018-08-23T09:16:47.929993,306.67M,459.88M
