timestamp,total_io_read,total_io_write
2018-08-23T09:16:49.083732,60.53M,0B
2018-08-23T09:16:50.179654,129.72M,0B
2018-08-23T09:16:51.184742,193.99M,0B
2018-08-23T09:16:52.296880,264.4M,0B
2018-08-23T09:16:53.435823,306.18M,20.53M
2018-08-23T09:16:54.488526,306.18M,70.8M
2018-08-23T09:16:55.541612,306.18M,123.84M
2018-08-23T09:16:56.595096,306.18M,176.92M
2018-08-23T09:16:57.646036,306.18M,229.83M
2018-08-23T09:16:58.703514,306.18M,283.13M
2018-08-23T09:16:59.757063,306.18M,336.24M
2018-08-23T09:17:00.814496,306.18M,388.96M
2018-08-23T09:17:01.865808,306.27M,441.75M
2018-08-23T09:17:02.914728,306.67M,459.88M
2018-08-23T09:17:03.931406,268.47M,394.19M
2018-08-23T09:17:04.965903,306.67M,459.88M
2018-08-23T09:17:05.974699,306.67M,459.88M
2018-08-23T09:17:06.982151,306.67M,459.88M
2018-08-23T09:17:07.986930,306.67M,459.88M
2018-08-23T09:17:08.987040,306.67M,459.88M
2018-08-23T09:17:09.987052,306.67M,459.88M
