timestamp,total_io_read,total_io_write
2018-08-23T09:09:57.861088,70.64M,0B
2018-08-23T09:09:59.015849,144.47M,0B
2018-08-23T09:10:00.195943,219.88M,0B
2018-08-23T09:10:01.275814,288.65M,0B
2018-08-23T09:10:02.333866,306.18M,34.06M
2018-08-23T09:10:03.374281,306.18M,87.41M
2018-08-23T09:10:04.406286,306.18M,141.15M
2018-08-23T09:10:05.445855,306.18M,195.25M
2018-08-23T09:10:06.486087,306.18M,249.35M
2018-08-23T09:10:07.516506,306.18M,303.2M
2018-08-23T09:10:08.554298,306.18M,357.33M
2018-08-23T09:10:09.581445,306.18M,410.89M
2018-08-23T09:10:10.641412,306.52M,456.47M
2018-08-23T09:10:11.681019,306.67M,459.88M
2018-08-23T09:10:12.716985,306.67M,459.88M
2018-08-23T09:10:13.721938,306.67M,459.88M
2018-08-23T09:10:14.731197,306.67M,459.88M
2018-08-23T09:10:15.735806,306.67M,459.88M
2018-08-23T09:10:16.752089,306.67M,459.88M
2018-08-23T09:10:17.759585,306.67M,459.88M
2018-08-23T09:10:18.770599,306.67M,459.88M
