timestamp,total_io_read,total_io_write
2018-08-23T09:10:19.985725,70.56M,0B
2018-08-23T09:10:21.185475,147.81M,0B
2018-08-23T09:10:22.351819,222.7M,0B
2018-08-23T09:10:23.496010,295.74M,0B
2018-08-23T09:10:24.620282,306.18M,44.21M
2018-08-23T09:10:25.662177,306.18M,98.91M
2018-08-23T09:10:26.704027,306.18M,154.27M
2018-08-23T09:10:27.723842,306.18M,208.11M
2018-08-23T09:10:28.767546,306.18M,263.23M
2018-08-23T09:10:29.797026,306.18M,317.53M
2018-08-23T09:10:30.826275,306.18M,372.0M
2018-08-23T09:10:31.864721,306.18M,426.71M
2018-08-23T09:10:32.869727,306.67M,459.88M
2018-08-23T09:10:33.896125,306.67M,459.88M
2018-08-23T09:10:34.905183,306.67M,459.88M
2018-08-23T09:10:35.912625,306.67M,459.88M
2018-08-23T09:10:36.916794,306.67M,459.88M
2018-08-23T09:10:37.917290,306.67M,459.88M
2018-08-23T09:10:38.918614,306.67M,459.88M
2018-08-23T09:10:39.923717,306.67M,459.88M
