timestamp,total_io_read,total_io_write
2018-08-10T09:11:42.766743,68.88M,0B
2018-08-10T09:11:43.816546,134.35M,0B
2018-08-10T09:11:44.957634,206.82M,0B
2018-08-10T09:11:46.157646,282.08M,0B
2018-08-10T09:11:47.343374,306.18M,35.02M
2018-08-10T09:11:48.454973,306.18M,91.78M
2018-08-10T09:11:49.531713,306.18M,145.8M
2018-08-10T09:11:50.641489,306.18M,203.28M
2018-08-10T09:11:51.754982,306.18M,261.06M
2018-08-10T09:11:52.868776,306.18M,318.29M
2018-08-10T09:11:53.971363,306.18M,376.03M
2018-08-10T09:11:55.119468,306.18M,435.58M
2018-08-10T09:11:56.165199,306.72M,459.88M
2018-08-10T09:11:57.208307,306.72M,459.88M
2018-08-10T09:11:58.217295,306.72M,459.88M
2018-08-10T09:11:59.243896,306.72M,459.88M
2018-08-10T09:12:00.258867,306.72M,459.88M
2018-08-10T09:12:01.267352,306.72M,459.88M
