timestamp,total_io_read,total_io_write
2018-08-10T09:12:02.996899,57.44M,0B
2018-08-10T09:12:04.041489,122.9M,0B
2018-08-10T09:12:05.055266,186.31M,0B
2018-08-10T09:12:06.071432,243.05M,0B
2018-08-10T09:12:07.238452,304.4M,4.98M
2018-08-10T09:12:08.307730,306.18M,45.71M
2018-08-10T09:12:09.337898,306.18M,90.88M
2018-08-10T09:12:10.584771,306.18M,152.04M
2018-08-10T09:12:11.633638,306.18M,201.89M
2018-08-10T09:12:12.725974,306.18M,251.68M
2018-08-10T09:12:13.745952,306.18M,303.1M
2018-08-10T09:12:14.750568,306.18M,354.95M
2018-08-10T09:12:15.761511,306.24M,406.73M
2018-08-10T09:12:16.837554,306.5M,455.62M
2018-08-10T09:12:17.867828,306.72M,459.88M
2018-08-10T09:12:18.879687,268.52M,394.19M
2018-08-10T09:12:19.882800,306.72M,459.88M
2018-08-10T09:12:20.894172,306.72M,459.88M
2018-08-10T09:12:21.903552,306.72M,459.88M
2018-08-10T09:12:22.915437,306.72M,459.88M
2018-08-10T09:12:23.928276,306.72M,459.88M
