timestamp,total_io_read,total_io_write
2018-08-27T14:22:39.068376,53.76M,0B
2018-08-27T14:22:40.091249,113.64M,0B
2018-08-27T14:22:41.285944,185.53M,0B
2018-08-27T14:22:42.333906,247.95M,0B
2018-08-27T14:22:43.441588,305.39M,6.93M
2018-08-27T14:22:44.514704,306.19M,54.47M
2018-08-27T14:22:45.678994,306.19M,113.13M
2018-08-27T14:22:46.866789,306.19M,170.58M
2018-08-27T14:22:47.997021,306.19M,221.26M
2018-08-27T14:22:49.150024,306.19M,283.02M
2018-08-27T14:22:50.176462,306.19M,337.27M
2018-08-27T14:22:51.258934,306.19M,393.95M
2018-08-27T14:22:52.297784,306.25M,447.1M
2018-08-27T14:22:53.382478,306.75M,459.88M
2018-08-27T14:22:54.388534,306.75M,459.88M
2018-08-27T14:22:55.420688,306.75M,459.88M
2018-08-27T14:22:56.425452,306.75M,459.88M
2018-08-27T14:22:57.428345,306.75M,459.88M
2018-08-27T14:22:58.432318,306.75M,459.88M
2018-08-27T14:22:59.433468,306.75M,459.88M
2018-08-27T14:23:00.442145,306.75M,459.88M
