timestamp,total_io_read,total_io_write
2018-08-27T14:23:01.974491,60.18M,0B
2018-08-27T14:23:03.093507,125.73M,0B
2018-08-27T14:23:04.224448,193.05M,0B
2018-08-27T14:23:05.235298,253.17M,0B
2018-08-27T14:23:06.263003,305.53M,6.97M
2018-08-27T14:23:07.456598,306.19M,55.28M
2018-08-27T14:23:08.530894,306.19M,100.45M
2018-08-27T14:23:09.633429,306.19M,156.59M
2018-08-27T14:23:10.786125,306.19M,209.09M
2018-08-27T14:23:11.823388,306.19M,259.53M
2018-08-27T14:23:12.950867,306.19M,316.03M
2018-08-27T14:23:14.048875,306.19M,372.6M
2018-08-27T14:23:15.121430,306.19M,416.91M
2018-08-27T14:23:16.232033,306.59M,458.74M
2018-08-27T14:23:17.271608,306.76M,459.88M
2018-08-27T14:23:18.311865,306.76M,459.88M
2018-08-27T14:23:19.345523,306.76M,459.88M
2018-08-27T14:23:20.359418,306.76M,459.88M
2018-08-27T14:23:21.375857,306.76M,459.88M
2018-08-27T14:23:22.381117,306.76M,459.88M
2018-08-27T14:23:23.392187,306.76M,459.88M
2018-08-27T14:23:24.393019,306.76M,459.88M
